"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","아일랜드식탁","7,390","61,900","69,290","915,813","13.217","- (-)"
"-","수납장","14,500","80,100","94,600","5,440,610","57.512","- (-)"
"-","암막커튼","17,900","119,300","137,200","556,281","4.055","- (-)"
"-","식탁","13,300","110,600","123,900","8,073,550","65.162","- (-)"
"-","소파","16,400","82,700","99,100","7,937,229","80.093","- (-)"
"-","매트리스","26,300","200,500","226,800","2,260,899","9.969","- (-)"
"-","파티션","23,500","70,500","94,000","1,192,643","12.688","- (-)"
"-","옷장","12,300","77,100","89,400","2,870,998","32.114","- (-)"
"-","커튼","16,000","82,500","98,500","4,349,378","44.156","- (-)"
"-","서랍장","14,400","101,000","115,400","2,441,583","21.158","- (-)"
"-","책장","15,900","83,500","99,400","2,156,366","21.694","- (-)"
"-","앞치마","12,900","101,000","113,900","2,362,156","20.739","- (-)"
"-","책상","26,800","112,200","139,000","12,066,464","86.809","- (-)"
"-","침대프레임","16,900","94,200","111,100","1,050,030","9.451","- (-)"
"-","전신거울","10,900","67,200","78,100","623,213","7.980","- (-)"
"-","침대","28,400","167,600","196,000","12,300,437","62.757","- (-)"
"-","식탁의자","9,190","107,700","116,890","2,680,361","22.931","- (-)"
"-","화장대","10,100","85,700","95,800","3,211,245","33.520","- (-)"
"-","쇼파","17,000","150,300","167,300","7,937,229","47.443","- (-)"
"-","행거","19,600","133,600","153,200","4,937,226","32.227","- (-)"